,,
Saldo inicio del ejercicio,1.218.776,673.654
Acciones adquiridas en contrato de liquidez (d.1) Acciones vendidas en contrato de liquidez (d.1) Acciones adquiridas en Programas de recompra (d.2),1.609.715,826.381 (831.586) 585.583 — (35.256)
,(1.598.794),
,1.467.225,
Acciones para reducción de capital en Programas de recompra (d.2),(2.052.808) —,
Gratificación extraordinaria mediante entrega de acciones (d.3),,
Saldo final del ejercicio,644.114,1.218.776
