,,,,
,H1 2024,H1 2023,Growth,% Growth
,0.2,0.4,(0.2),
,1.1,0.5,0.6,
,0.3,0.3,0.0,
,0.5,0.5,0.0,
,0.4,3.3,(2.8),
,0.8,0.8,0.0,
,3.4,5.7,(2.3),
,1.3,2.9,(1.5),
,1.9,0.3,1.5,
,12.0,9.2,2.8,
,15.2,12.4,2.8,
Total Capex,18.7,18.2,0.5,
