,Thousands of euros,,,
,,Thousands of euros,,
,2018,,2017,
,,,,2017
Beginning of the year (net of tax),3.489,,"3,904",
,,,,"3,904"
Increases (net of tax),298,,307,
,,,,307
Decreases (net of tax),531,,(21),
,,,,(21)
Allocation to profit and loss (net of tax),"(1,190)",,(701),
,,,,(701)
End of the year (net of tax),"3,128",,"3,489",
,,,,"3,489"
