,2021,2020
Advertising costs,"12,713","11,409"
Services from third parties,"11,881","9,502"
Supplies,"24,192","12,242"
Transport and warehouse expenses,"7,764","6,860"
Repairs and maintenance,"4,987","4,173"
Operating leases,839,327
Other taxes,"5,707","6,404"
Other operating expenses,"25,419","22,789"
,"93,502","73,706"
