,,,,Thousands of euros,,
,,,2018,,2017,
,,,,,,2017
Pharmaceutical products,,,"191,160",,"183,166",
,,,,,,"183,166"
Contrast agents and other hospital products,,,"29,688",,"28,541",
,,,,,,"28,541"
Non-prescription pharmaceutical products,,,"1,408",,"1,800",
,,,,,,"1,800"
Sales of bemiparin to other Group companies (Note 31.a),,,"68,846",,"26,669",
,,,,,,"26,669"
Other,,,100,,384,
,,,,,,384
,,,"291,202",,"240,560",
,,,,,,"240,560"
