,Note,31 December,
,,2021,2020
EQUITY Capital and reserves attributable to shareholders of the Company Share capital Share premium Legal reserve Treasury shares Retained earnings and voluntary reserve Profit for the year Other reserves Total equity LIABILITIES Non-current liabilities Financial debt Deferred income tax liabilities Contract liabilities Deferred income Current liabilities Financial debt Trade and other payables Current tax liabilities Contract liabilities Deferred income,15 15 16 16 16 16 16 18 19 20 21 18 17 27 20 21,"3,364 87,636 673 (66,121) 292,349 153,077 (2)","3,364 87,636 673 (20,185) 241,158 61,057 (3)"
,,"470,976","373,700"
,,"66,745 776 1,460 2,331","68,421 929 5,788 2,712"
,,"71,312","77,850"
,,"6,417 125,173 681 57,632 485","6,022 91,364 — 25,005 498"
,,"190,388","122,889"
Total liabilities,,"261,700","200,739"
Total equity and liabilities,,"732,676","574,439"
