,Fabricación,Comercialización,Otros,Total agregado
Total activos,396.164 468.900 483 865.547,,,
De los cuales:,,,,
Inversiones en empresas del Grupo,—,9.489,— —,9.489 45.017
Aumentos de act. no corrientes no financieros,35.190 9.827,,,
,,,,
Total pasivos,(222.497) (149.283) (8) (371.788),,,
