,,CURRENT PERIOD,PREVIOUS PERIOD,ACCUMULA TED PERIOD,ACCUMULAT ED PREVIOUS
,,(2nd HALF),(2nd HALF),31/12/2020,PERIOD 31/12/2019
(+) Net revenue,1205,228.832,203.777,419.961,381.313
(+/-) Change in inventories of finished products and work in progress,1206,(19.176),534,17.659,21.414
(+) Work performed by the company on its assets,1207,,,,
(-) Supplies,1208,(80.073),(91.082),(196.311),(188.020)
(+) Other operating income,1209,,,,
(-) Employee benefit expenses,1217,(37.877),(35.759),(74.429),(72.512)
(-) Other operating expenses,1210,(40.363),(43.314),(73.706),(81.946)
(-) Amortization and depreciation charges,1211,(10.052),(9.501),(19.593),(18.216)
(+) Allocation of grants for non-financial assets and other,1212,556,777,1.157,1.151
"(+/-) Impairment of intangible assets and property, plant & equipment",1214,(56),(341),(56),(341)
"(+/-) Gains/(losses) on disposal of intangible assets and property, plant & equipment",1216,,,,
(+/-) Other gains/(losses),1215,,,,
= OPERATING PROFIT/(LOSS),1245,41.791,25.091,74.682,42.843
(+) Finance income,1250,2,48,4,51
a) Interest income calculated using the effective interest rate method,1262,2,48,4,51
b) Other,1263,,,,
(-) Finance expenses,1251,(221),(475),(1.072),(927)
(+/-) Change in fair value of financial instruments,1252,(1.330),(251),(796),(146)
(+/-) Gains/(losses) due to the reclassification of financial assets held at amortised cost to financial assets held at fair value,1258,,,,
(+/-) Gains/(losses) due to the reclasification of financial assets held at fair value through other comprehensive income to financial assets held at fair value,1259,,,,
(+/-) Exchange rate differences,1254,18,(88),39,(51)
(+/-) Impairment on disposal of financial instruments,1255,,,,
(+/-) Gains/(losses) on disposal of financial instruments,1257,(511),276,(245),305
a) Financial instruments at amortised cost,1260,,,,
b) Rest of financial instruments,1261,(511),276,(245),305
= FINANCE PROFIT/(LOSS),1256,(2.042),(490),(2.070),(768)
(+/-) Profit/(loss) of entities measured using the equity method,1253,(9),(185),(31),(195)
= PROFIT/(LOSS) BEFORE TAX,1265,39.740,24.416,72.581,41.880
(+/-) Corporate income tax,1270,(8.276),(1.304),(11.524),(2.607)
= PROFIT/(LOSS) FOR PERIOD FROM CONTINUING OPERATIONS,1280,31.464,23.112,61.057,39.273
"(+/-)Profit/(loss) for period from discontinued operations, net of taxes",1285,,,,
= CONSOLIDATED PROFIT/(LOSS) FOR PERIOD,1288,31.464,23.112,61.057,39.273
a) Profit/(loss) attributed to parent company,1300,31.464,23.112,61.057,39.273
b) Profit/(loss) attributed to non-controlling interests,1289,,,,
