,Negative tax bases,30% amortiz. 13&14,Provisions,Other,Total
At 1 January 2023,—,"516 1,529 33 2,078",,,
(Charged)/credited to profit and loss (Charged)/credited to equity,288 (140) 81 286 515,,,,
,— (234) (16) — (250),,,,
At 31 December 2023,288,142,"1,594",319,"2,343"
(Charged)/credited to profit and loss,(56) (142) 305 (187) (80),,,,
At 31 December 2024,232,—,"1,899",132,"2,263"
