,Fabricación,Comercialización,Otros,Total agregado
Total activos,635.501 490.357,,474 1.126.332,
De los cuales:,— 18.917 49.292 6.451,,,
Inversiones en empresas del Grupo,,,— —,18.917 55.743
Aumentos de act. no corrientes no financieros,,,,
,,,,
Total pasivos,(294.877) (276.786) (9),,,(571.672)
