,Manufacturing,Marketing,Other,Aggregated total,Inter- segment transactions,Consolidated total
Total segment revenues,"600,351","427,528",—,"1,027,879","(264,130)","763,749"
,,,,,,
Profit/(loss),"170,352","41,458",(181),"211,629","(74,753)","136,876"
Income tax,"43,789 604 (18) 44,375 (3,561) 40,814",,,,,
Profit/(loss) before tax,"214,141 42,062 (199) 256,004 (78,314) 177,690",,,,,
Finance costs (net),"(1,219) (60,633) 18,775 9,268",,26 21,"(61,826) 63,540 1,714 28,064 (49) 28,015",,
Amortisation/depreciation,,,,,,
EBITDA (*),"231,697 (9,303)",,(152),"222,242","(14,823)","207,419"
Amortisation/depreciation,,,,,,
,"(18,775) (9,268)",,(21),"(28,064) 49 (28,015)",,
EBIT (**),"212,922 (18,571) (173) 194,178 (14,774) 179,404",,,,,
