,Recognition of revenues from services rendered to third parties,,,,
,"See notes 2.21.b, 4.2, 20.b and 22.b to the consolidated annual accounts",,,,
,,,,,
,Key audit matter,,,How the matter was addressed in our audit,
,In 2020 the Group incurred research and,,,,
,"development expenses amounting to Euros 23,801",,,,
,"thousand that have not been capitalised, associated",,,,
,mainly with products under development based on,,,,
,the ISM® platform.,,,,
,Due to the significance of the balance and the high,,,,
,degree of judgement associated with the,,,,
,capitalisation and recoverability of these intangible,,,,
,"assets, we consider this to be a key audit matter in",,,,
,our audit of the current year.,,,,
