,30 June 2025,31 December 2024
Trade receivables,"124,550 115,176 (274) (349)",
Less: loss allowance for bad debts,,
Trade receivables – Net,"124,276 114,827 1 2 — 30 1,940 1,930 135 133 9,994 12,614",
Other receivables,,
Amounts receivable from related parties,,
Deposits,,
Employees,,
Public authorities,,
Total,"136,346 129,536",
Less: Non-current portion: Financial accounts receivable,65 65,
Current portion,"136,281 129,471",
