Thousands of euros Note,31.12.2016 31.12.2016 adjusted presented Difference
EQUITY,"145,748 147,658 (1,910)"
Equity,"141,847 143,757 (1,910)"
"Capital Reserves (Treasury shares) Retained earnings Profit for the year 16 Adjustments for change in value Grants, donations and legacies received","3,000 3,000 - 6,959 6,959 - (8,701) (8,701) - 110,657 110,657 - 29,932 31,842 (1,910) (3) (3) - 3,904 3,904 -"
NON-CURRENT LIABILITIES,"23,699 24,336 (637)"
Non-current debt Deferred tax liabilities 21 Non-current accruals,"20,110 20,110 - 2,691 3,328 (637) 898 898 -"
CURRENT LIABILITIES,"113,461 113,461 -"
Current provisions Current debt Current debt with Group and associated companies Trade and other payables Current accruals,"2,878 2,878 - 12,789 12,789 - 88 88 - 97,537 97,537 - 169 169 -"
TOTAL EQUITY AND LIABILITIES,"282,908 285,455 (2,547)"
