Nombre,País de constitución,% de la participación,Naturaleza de la relación,Método de valoración
"Enervit Nutrition, S.L. (1)",España,"50 % 26 % 25,5 %",a),Sociedad vendida
"Cells IA Technologies, S.L. (2)",España,,b),Participación
"Terafront Farmatech, S.L. (3)",España,,c),Participación
