,2019,2018,Var.,
WASTE (*),Madrid and Alcalá de Granada Distribution SSRR Henares,Madrid and Alcalá de Granada Distribution SSRR Henares,Mad & Gr AH Distr. SSRR,
"Tn of hazardous waste generated 1,910 236 120 15 Tn of non-hazardous waste generated 2,282 658 440 1",,"1,037 186 176 25 1,336 464 283 1",84% 27% -32% -39% 71% 42% 56% -30%,
"TOTAL 4,192 894 560 15",,"2,373 651 459 25",77% 37% 22% -39%,
Tn of hazardous waste/ million units produced 0.004 1.78 3.53 0.74 Tn of non-hazardous waste/ million units produced 0.004 4.97 12.94 0.02,,0.003 1.70 5.17 1.15 0.004 4.24 8.31 0.03,5% 5% -32% -35% -3% 17% 56% -25%,
Ton. Waste/million units produced 0.008 6.76 16.47 0.77,,0.008 5.95 13.49 1.18,0% 14% 22% -35%,
