,,,,Miles de euros
,,,,2025 2024
,,,,
Retribución de consejeros ejecutivos,,,,2.666
Resultado de la Sociedad dominante,,,,46.079
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,,,,"5,79 %"
