,Number of shares
Balance at 31.12.20,"673,654"
Shares acquired under liquidity contract (a),"826,381"
Shares sold under liquidity contract (a),"(831,586)"
Share acquired under buy-back programme (b),"585,583"
Extraordinary bonus through award of shares (c),"(35,256)"
Balance at 31.12.21,1.218.776
