Comisión de Nombramiento y Retribuciones,,
Nombre,Cargo,Categoría
DON JOSÉ FERNANDO DE ALMANSA MORENO- BARREDA,PRESIDENTE,Independiente
DOÑA FÁTIMA BÁÑEZ GARCÍA,VOCAL,Independiente
DON MARCOS PEÑA PINTO,VOCAL,Independiente
