2023,2022 2021
Hombres Mujeres,Hombres Mujeres Hombres Mujeres
17.420 € 18.658 €,17.035 € 18.266 € 16.657 € 18.277 €
18.820 € 19.083 €,18.207 € 18.397 € 17.777 € 17.995 €
20.622 € 21.415 €,20.084 € 21.022 € 19.493 € 21.004 €
27.930 € 26.641 €,26.989 € 26.475 € 27.118 € 26.098 €
34.982 € 34.752 €,35.244 € 34.230 € 34.466 € 32.267 €
49.763 € 43.835 €,46.540 € 41.051 € 43.690 € 38.127 €
66.470 € 59.821 €,62.802 € 57.793 € 59.776 € 55.067 €
120.569 € 110.188 €,123.418 € 108.276 € 117.420 € 106.262 €
256.707 € 139.692 €,282.829 € 147.637 € 231.341 € 137.942 €
89.570 € 72.852 €,88.937 € 67.397 € 97.943 € 68.293 €
