,30 June 2024,30 June 2023
Balance at beginning of period,"1,823 2,259",
(Gain)/loss recognised in profit and loss Additions Derecognitions,(114) (8) 2 10,
,(119) (223),
Balance at end of period,"1,592 2,038",
