,,,,Thousands of euros,,,,
,,,2018,,,2017,,
"Wages, salaries and similar",,,"27,801",,,"24,697",,
Employee benefits,,,,,,,,
- Pension contributions and provisions (Note 30.a),,,24,,,24,,
- Other welfare charges,,,"4,919",,,"4,799",,
,- Other welfare charges,,,"4,919",,,"4,799",
,,,,"32,744",,,"29,520",
