,Nota,A 31 de diciembre de,
,,2016,2015
Resultado del ejercicio,,26.089,19.809
Partidas que pueden reclasificarse con posterioridad al resultado + Cambios en el valor de activos financieros disponibles para la venta,11,(1) (1),- -
"Otro resultado global del ejercicio, neto de impuestos",,(1),-
Resultado global total del ejercicio,,26.088,19.809
