,,,,,,,,,,,,,,TOTAL/PROMEDIO
,,,,,,,,,,,,,,3.017
,,,,,,,,,,,,,,3.425
Total residuos,n.a 3.695 318 1.445 970 13,,,,,,,,,,,,,6.441
,,,,,,,,,,,,,,—
,,,,,,,,,,,,,,"5,8"
,,,,,,,,,,,,,,—
,,,,,,,,,,,,,,s.d.
,n.a s.d. s.d. s.d. s.d. s.d. s.d.,,,,,,,,,,,,,
,n.a s.d. s.d. s.d. s.d. s.d. s.d. n.a s.d. s.d. s.d. s.d. s.d. s.d.,,,,,,,,,,,,,
Total residuos no peligrosos reciclados/uds. producidas y distribuidas,,,,,,,,,,,,,,
Total residuos no peligrosos valorizados/ uds. producidas y distribuidas,,n.a,,s.d.,,s.d.,,s.d.,,s.d.,,s.d.,,s.d.
Total residuos peligrosos valorizados/uds. producidas y distribuidas,,n.a,,s.d.,,s.d.,,s.d.,,s.d.,,s.d.,,s.d.
