,,30 June 2023
Balance at beginning of the period,24,9
Net gains/(losses) recorded in equity Derecognitions Additions,— 1,
,(24) (10) — 24,
Balance at end of period,— 24,
Less: non-current portion Current portion,— 24,
,— —,
