,Thousand euros,,,,,,
,,,,,Income and expenses credited /,,
,Income statement,,,,,,
,,,,,(charged directly in equity,,
Balance income & expenses,,,"65,143",,,,(294)
,Increases,Decreases,Total,,Increases,Decreases,Total
Corporate income tax,,,"(6,249)",,,,(98)
Permanent differences,,,,,,,
- Individual,847,—,847,,—,—,—
- Due to tax consolidation,—,"(23,715)","(23,715)",,—,—,—
Temporary differences:,,,,,,,
- Individual,,,,,,,
- originating in the period,"5,916",—,"5,916",,—,—,—
- originating in previous,,,,,,,
,,,,,,,
,235,"(7,747)","(7,512)",,—,—,—
periods,,,,,,,
- Due to tax consolidation,,,,,,,
- originating in the period,—,"(11,522)","(11,522)",,—,—,—
- originating in previous,,,,,,,
,,,,,,,
,"13,228",—,"13,228",,—,—,—
periods,,,,,,,
Taxable income,,,"36,136",,,,(392)
