In thousand euros,2021,2020,
,,,2020
Bank borrowings,"44,821","45,000",
,,,"45,000"
Debt with public administration,10.661,"10,972",
,,,"10,972"
Financial liabilities for leases,"17,663","17,546",
,,,"17,546"
Derivatives,17,925,
,,,925
Total,"73,162","74,443",
,,,"74,443"
