,Note,31 December,
,,2024,2023
EQUITY Equity attributed to parent company Share capital Share premium Legal reserve Treasury shares Retained earnings and voluntary reserves Profit for the year Accumulated other comprehensive income Non-controlling interests Total equity LIABILITIES Non-current liabilities Financial debt Deferred tax liabilities Contract liabilities Deferred income Current liabilities Financial debt Trade and other payables Current tax liabilities Contact liabilities Deferred income,15 15 16 16 16 16 16 16 18 19 20 21 18 17 27 20 21,"572,028 3,074 87,636 673 (5,545) 349,332 136,881 (23) 9,512","539,387 3,241 87,636 673 (107,676) 385,199 170,335 (21) 4,107"
,,"581,540","543,494"
,,"90,719 366 1,819 927","52,242 1,515 1,431 1,359"
,,"93,831","56,547"
,,"23,691 125,328 2,384 4,803 445","13,185 141,895 5,255 39,044 464"
,,"156,651","199,843"
Total liabilities,,"250,482","256,390"
Total equity and liabilities,,"832,022","799,884"
