,,Deferred tax assets,Deferred tax liabilities,Net deferred taxes
"At 1 January, 2017",,"10,252","(1,640)","8,612"
(Charged) / credited to the income statement,,"1,641",202,"1,843"
"At 31 December, 2017",,"11,893","(1,438)","10,455"
(Charged) / credited to the income statement (Note 28),,4.277,195,"4,472"
Tax charged to equity,,(134),-,(134)
"At 31 December, 2018",,"16,036","(1,243)","14,793"
