,Deferred tax Deferred tax Net deferred assets liabilities taxes,,
"At 1 January, 2024","2,343 (1,515) 828",,
(Charged) / credited to profit and loss (Note 22),254 571 825,,
(Charged) / credited to equity,—,—,—
"At 30 June, 2024","2,597 (944) 1,653",,
