Nombre o denominación social del consejero,Representante,Categoría del consejero,Cargo en el consejo,Fecha primer nombramiento,Fecha último nombramiento,Procedimiento de elección
DON JUAN LÓPEZ- BELMONTE LÓPEZ,,Dominical,PRESIDENTE,27/07/2007,31/05/2017,ACUERDO JUNTA GENERAL DE ACCIONISTAS
DON JUAN LÓPEZ- BELMONTE ENCINA,,Ejecutivo,CONSEJERO DELEGADO,27/07/2007,31/05/2017,ACUERDO JUNTA GENERAL DE ACCIONISTAS
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,,Ejecutivo,VICEPRESIDENT 1º,E 27/07/2007,31/05/2017,ACUERDO JUNTA GENERAL DE ACCIONISTAS
DON JAVIER LÓPEZ- BELMONTE ENCINA,,Ejecutivo,VICEPRESIDENT 2º,E 27/07/2007,31/05/2017,ACUERDO JUNTA GENERAL DE ACCIONISTAS
DON JOSÉ FERNANDO DE ALMANSA MORENO- BARREDA,,Independiente,CONSEJERO,09/06/2015,12/06/2019,ACUERDO JUNTA GENERAL DE ACCIONISTAS
DON MARCOS PEÑA PINTO,,Independiente,CONSEJERO COORDINADOR INDEPENDIENTE,09/05/2019,12/06/2019,ACUERDO JUNTA GENERAL DE ACCIONISTAS
