PERIODO ACTUAL,,Fondos propios,,,,,Ajustes por cambios de valor,Subvenciones donaciones y legados recibidos,Total Patrimonio neto
,,Capital,Prima de emisión y Reservas (1),Acciones y particip. en patrimonio propias,Resultado del ejercicio,Otros instrumentos de patrimonio neto,,,
Saldo inicial al 01/01/2016,3010,3.000,107.126,(8.112),17.509,,(2),4.408,123.929
Ajuste por cambios de criterio contable,3011,,,,,,,,
Ajuste por errores,3012,,,,,,,,
Saldo inicial ajustado,3015,3.000,107.126,(8.112),17.509,,(2),4.408,123.929
I. Total ingresos/ (gastos) reconocidos,3020,,,,31.842,,(1),(504),31.337
II. Operaciones con socios o propietarios,3025,,48,(589),(6.950),,,,(7.491)
1. Aumentos/ (Reducciones) de capital,3026,,,,,,,,
2. Conversión de pasivos financieros en patrimonio neto,3027,,,,,,,,
3. Distribución de dividendos,3028,,,,(6.950),,,,(6.950)
4. Operaciones con acciones o participaciones en patrimonio propias (netas),3029,,48,(589),,,,,(541)
5. Incrementos/ (Reducciones) por combinaciones de negocios,3030,,,,,,,,
6. Otras operaciones con socios o propietarios,3032,,,,,,,,
III. Otras variaciones de patrimonio neto,3035,,10.442,,(10.559),,,,(117)
1. Pagos basados en instrumentos de patrimonio,3036,,,,,,,,
2. Traspasos entre partidas de patrimonio neto,3037,,10.559,,(10.559),,,,
3. Otras variaciones,3038,,(117),,,,,,(117)
Saldo final al 31/12/2016,3040,3.000,117.616,(8.701),31.842,,(3),3.904,147.658
