,Manufacturing,Marketing,Other,Aggregated total
Total assets,"789,545 483,188",,"2,162","1,274,895"
Of which:,"— 32,050 59,442 6,128",,,
Investments in Group companies,,,— —,"32,050"
Increases in non-current non-financial assets,,,,"65,570"
,,,,
Total liabilities,"(193,130) (445,233) (1,954)",,,"(640,317)"
