Ejercicio financiero 2023,2023,,,Criterios de contribución sustancial,,,,,,"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"").",,,,,,,,,
Actividades económicas,Códigos,CapEx (€),"Proporción año 2023 de las CapEx,",Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Garantía mínimas,"Proporción de las CapEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2022",Categoría actividad facilitadora,Categoría actividad de transición
A.2. Actividades elegibles según la taxonomía pero no medioambientalmente sostenibles (actividades que no se ajustan a la taxonomía),,,,,,,,,,,,,,,,,,,
Fabricación de ingredientes farmacéuticos activos (IFA) o sustancias activas (*),PPC 1.1,"481.355,37 €","1,325%",N/ EL,N/ EL,N/ EL,EL,N/ EL,N/ EL,,,,,,,,N/A,,
Fabricación de medicamentos (*),PPC 12,"8.741.185,29 €","24,063%",N/ EL,N/ EL,N/ EL,EL,N/ EL,N/ EL,,,,,,,,N/A,,
Renovación de la recogida y el tratamiento de aguas residuales,CCM 5.4,"22.207,39 €","0,061%",EL,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,,,,,,,,"0,059%",,
"Instalación, mantenimiento y reparación de equipos de eficiencia energética",CCM 7.3,"3.453,34 €","0,010%",EL,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,,,,,,,,"0,017%",,
OpEx de actividades elegibles según la taxonomía pero no medioambientalmen te sostenibles (actividades que no se ajustan a la taxonomía) (A.2),,"9.248.201,39 €","25,459%","0,07 1%",0%,0%,"25,388 %",0%,0%,,,,,,,,"0,076%",,
A. OpEx de actividades elegibles según la taxonomía (A.1+A.2),,"9.297.504,36 €","25,595%","0,20 6%",0%,0%,"25,388 %",0%,0%,,,,,,,,"0,131%",,
B . Actividades no elegibles según la Taxonomía,,,,,,,,,,,,,,,,,,,
OpEx de actividades no elegibles según la taxonomía (B),,"27.028.495,6 €","74,41%",,,,,,,,,,,,,,,,
Total,,"36.326.000,00 €",100%,,,,,,,,,,,,,,,,
