,2021,2020
Interest income,68,4
Total finance income,68,4
,,
IOnttheerer sftin caonsctse costs,(669),(806)
Total finance costs,(236),(266)
Interest income,(905),"(1,072)"
,,
Proceeds on disposal of financial instruments,"1,161",(245)
Change in fair value of financial instruments,908,(796)
Impairment and gain/(loss) on measurement of financial instruments,"2,069","(1,041)"
,,
Exchange rate differences,(178),39
,(178),39
,,
Net finance income/(cost),"1,054","(2,070)"
