Name of indirect,Name of direct shareholder,% of shares carrying voting,% of voting rights through,% of total voting rights
shareholder,,rights,financial instruments,
,,,,
"INDUMENTA PUERI, S.L.",GLOBAL PORTFOLIO INVESTMENTS S.L.,5.06,0.00,5.06
