,Fabricación,Comercialización,Otros,Total agregado
Total activos,396.164 468.900 483 865.547,,,
De los cuales:,,,,
Inversiones en empresas del Grupo,—,18.917,— —,18.917 55.743
Aumentos de act. no corrientes no financieros,49.292 6.451,,,
,,,,
Total pasivos,(294.877) (276.786) (9) (571.672),,,
