,,Equity,,,,,,,
,,,Share,,,Other,Adjustment,"Grants,",
,,Share,premium,Treasury,Profit/,equity,s for,donations,Total equity
,,capital,and reserves,stock,(loss) for the period,instrume nts,changes in value,and legacies received,
Closing balance at 01/01/2018 (comparative period),3050,3.000,138.434,(8.407),18.673,,(2),3.489,155.187
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance (comparative period),3055,3.000,138.434,(8.407),18.673,,(2),3.489,155.187
I. Total recognized income/(expenses),3060,,,,15.581,,(1),(361),15.219
II. Transactions with shareholders or owners,3065,364,84.008,(405),(5.952),,,,78.015
1. Capital increases/(reductions),3066,364,83.755,,,,,,84.119
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(5.952),,,,(5.952)
4. Treasury stock transactions (net),3069,,253,(405),,,,,(152)
5.Increases/ (reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,12.721,,(12.721),,,,-
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,12.721,,(12.721),,,,
3. Other changes,3078,,,,,,,,-
Closing balance at 31/12/2018 (comparative period),3080,3.364,235.163,(8.812),15.581,,(3),3.128,248.421
