,% Participación directa,Valor neto contable de la participación,Capital,Reservas,Resultado del periodo,Total Fondos propios
"Pan Química Farmacéutica, S.A.U.",100 % 100 % 100 %,1.771 793,601 2.332 293 30 777 (546) 25 28 (10) 7.816 499.210 116.406 6 425 39 10 2.153 282 25 3.852 800 5 486 276 21 (103) (104) 10 22.480 (45) 30 62.519 (382) 18 166 (30),,,3.226 261 43
"Gineladius, S.L.U.",,,,,,
Bertex Pharma GmbH,,837 7.370 6 340 1.575 1.510 — 11.519 61.717,,,,
"Rovi Pharma Industrial Services, S.A.U.",100 %,,,,,623.432
"Rovi Biotech, Limited",100 % 100 % 100 % 100 % 100 % 51 % 100 % 100 %,,,,,470 2.445 4.677 767 (186) 22.445 62.167 154
"Rovi Biotech, S.r.l.",,,,,,
"Rovi, GmbH",,,,,,
Rovi S.A.S.,,,,,,
Rovi Biotech sp.z.o.o.,,,,,,
"Glicopepton Biotech, S.L.",,,,,,
"Rovi Escúzar, S.L.U.",,,,,,
"Rovi Biotech, GmbH",,154,,,,
,,87.592,,,,
