,Manufacturing Marketing Other,,,Aggregated total
Total assets,"825,962 534,870 5,932 1,366,764",,,
Of which: Investments in group companies Increases in non-current non-financial assets,,,,
,—,"33,619",— —,"33,619 21,508"
,"19,578 1,930",,,
,,,,
Total liabilities,"(203,640) (525,939)",,"(5,950)","(735,529)"
