31 December 2019 Note,,Amounts without adoption of IFRS 16,Adjust-ments As reported
,,,
Revenue Change in inventories of finished goods and work in progress Raw materials and consumables used Employee benefit expenses Other operating expenses Amortisation Impairment of non-current assets Recognition of government grants on non-financial non- current assets and other,"381,313 - 381,313 21,414 - 21,414 (188,020) - (188,020) (72,512) - (72,512) 24 (85,587) 3,641 (81,946) 6 & 7 (14,621) (3,595) (18,216) (341) - (341) 1,151 - 1,151",,
"OPERATING PROFIT 42,797 46 42,843",,,
Finance income Finance costs Impairment and gain or loss on measurement of financial instruments Exchange difference,51 - 51 26 (648) (279) (927) 159 - 159 (51) - (51),,
FINANCE COSTS - NET (489) (279) (768),,,
Share of profit of a joint venture,(195) - (195) -,,
"PROFIT BEFORE INCOME TAX 42,113 (233) 41,880",,,
Income tax,"27 (2,665) 58 (2,607)",,
"PROFIT FOR THE YEAR 39,448 (175) 39,273",,,
