Awarding entity,,Thousands,,Purpose,Date awarded,
,,of euros,,,,Date awarded
(1) Andalusian Regional Govt.,"2,629",,,Construction of Granada plant (Nota 6.d),2008,
,,,,,,2008
(2) Andalusian Regional Govt.,"1,080",,,Construction bemiparin lines in Granada,2012 & 2014,
,,,,,,2012 & 2014
Miscellaneous govt. entities,461,,,Miscellaneous projects,2001 onward,
,,,,,,2001 onward
,"4,170",,,,,
,,,,,,
