,,,,Thousand euros,
,,,,2021,2020
Mr Juan López-Belmonte López,,,,96,165
Mr Juan López-Belmonte Encina,,,,80,70
Mr Javier López-Belmonte Encina,,,,80,70
Mr Iván López-Belmonte Encina,,,,80,70
Mr Fernando de Almansa Moreno-Barreda,,,,80,70
Mr Marcos Peña Pinto,,,,80,70
Ms Fátima Báñez García,,,,80,70
,,,,576,585
