,"Capex de inversión 42,2M€",,
,"Industrialización de ISM® 9,1M€","Nuevas líneas de llenado y ampliación de operaciones 24,0M€",
,"+2,4M€ vs. 2022","+6,9M€ vs. 2022",
,"Construcción de una segunda planta de principio activo (API) de HBPM en Escúzar (Granada) 6,3M€","Joint venture Glicopepton para la construcción de una planta dedicada a la producción de heparinas procedentes de la mucosa intestinal de los cerdos 2,8M€",
,"(7,5)M€ vs. 2022","+0,9M€ vs. 2022",
