Nombre,Cargo,Categoría
DON ENRIQUE CASTELLÓN LEAL,PRESIDENTE,Independiente
DON MIGUEL CORSINI FREESE,SECRETARIO,Independiente
DON JOSÉ FERNANDO DE ALMANSA MORENO-BARREDA,VOCAL,Independiente
