,30 June 2025,31 December 2024
Contributions to the public health system and other rebates,"16,158 18,046 2,133 1,554 1,145 658",
Returns,,
Other trading transactions,,
Dividend payable (Note 24),"47,911 —",
,"67,347 20,258",
