,,Development,Trademarks & Licences,Computer software,Total
Balance at 01.01.23,,,,,
Cost,,"8,899 44,929 13,791 67,619 — (494) — (494) (2,296) (16,617) (12,468) (31,381)",,,
Accumulated impairment,,,,,
Accumulated depreciation,,,,,
Net carrying amt 01.01.23,,"6,603 27,818 1,323 35,744",,,
Additions,,"— — 173 173 (221) (1,217) (230) (1,668)",,,
Depreciation charge,,,,,
Balance at 30.06.23,,,,,
Cost,,"8,899 44,929 13,964 67,792 — (494) — (494) (2,517) (17,834) (12,698) (33,049)",,,
Accumulated impairment,,,,,
Accumulated depreciation,,,,,
Net carrying amt 30.06.23,,"6,382 26,601 1,266 34,249",,,
