Miles de euros 2016 2015,
Activos por impuestos diferidos: - Diferencias temporarias - Otros créditos fiscales Pasivos por impuestos diferidos: - Diferencias temporarias Impuestos diferidos netos,1.095 1.062 2.512 1.500
,3.607 2.562
,(3.328) (2.562)
,(3.328) (2.562)
,279 -
