Condensed financial information,,,,,,,,,,,"Alentia Biotech, S.L.",,,,Enervit
,,,,,,,,,,,,,,,"Nutrition,"
,Condensed financial information,,,,,,,,,,,,,,S.L.
,Net assets of joint ventures at the beginning of the yea,r,,,,,,,,,"(2,090)",,,"4,028",
,Profit / (loss) of joint ventures in the year,,,,,,,,,,,(2),,,48
,Net assets of joint ventures at end of the year,,,,,,,,,,"(2,092)",,,,"4,076"
,Share in profit of joint venture,,,,,,,,,,,-,,,"2,079"
,Carrying amount,,,,,,,,,,,-,,,"2,038"
