Hitos 2023,
Celebración de la Junta General de Accionistas en formato híbrido (presencial y con posibilidad de asistencia telemática).,
,Durante 2023 se ha proporcionado formación a los proveedores de marketing para garantizar que durante su prestación de servicios cumplen con los compromisos adquiridos por ROVI en materia de marketing ético.
,"Lanzamiento e implantación interna de la plataforma telemática para la gestión, supervisión y comunicación de operaciones con valores negociables y cumplimiento de otras obligaciones por parte de las personas sujetas al Reglamento Interno de Conducta de ROVI."
