,2019,2018,Var.,
NATURAL RESOURCE CONSUMPTION (*),Madrid and Alcalá de Granada Distribution SSRR Henares,Madrid and Alcalá de Granada Distribution SSRR Henares,Mad & Gr AH Distr. SSRR,
"m3 water consumed 24,026 58,931 63,114 2,561",,"27,399 51,842 62,516 985",-12% 14% 1% 160%,
"m3 water / million units produced 0.0 445.4 1,597.8 126.9",,"0.1 473.8 1,838.7 45.8",-50% -6% -13% 177%,
