,Activos por impuestos diferidos,Pasivos por impuestos diferidos,Impuestos diferidos netos
Al 1 de enero de 2023,2.078 (677) 1.401,,
(Cargo) / abono a la cuenta de resultados (Nota 28),515 (451) 64,,
