,30 June 2025,,,30 June 2024,
Condensed statement of comprehensive income,"Cells IA Technologies, S.L.","Terafront Farmatech, S.L.","Cells IA Technologies, S.L.",,"Terafront Farmatec h, S.L."
,,,,,
Revenue,— — (100) (65) (33) (182) (1) —,,,195,—
Other revenue,,,,— — (139) — (159) — (7) —,
Employee benefit expenses,,,,,
Other operating expenses,,,,,
Amortisation and depreciation,,,,,
Impairment and gain/(loss) on disposal of fixed assets,—,,,—,—
Operating profit/(loss),(134),(247),,(110) —,
Finance costs - net,(2) 124,,,— —,
Income tax,,—,,24 —,
Profit/(loss) for the period,(136),(123),,(86) —,
,,,,,
Other comprehensive income,— —,,,— —,
,,,,,
TOTAL COMPREHENSIVE INCOME,(136),(123),,(86) —,
