,30 June 2024,31 December 2023
Trade receivables Less: loss allowance Trade receivables – Net Deposits Other receivables,"121,258 125,068 (424) (518)",
,"120,834 124,550 1,867 1,440 13,967 17,389",
Total,"136,668 143,379",
Less: Non-current portion: Financial receivables Current portion,65 65,
,"136,603 143,314",
