,,Year ended 31 December,
,Note,2024,2023
PROFIT FOR THE YEAR,16,"75,546","12,071"
,,,23 (35) 78 (20) (382) 3 (514) 129
Income and expenses credited or charged directly to equity,,329,
Foreign exchange differences,,(8) 449 (112),
"Grants, donations and legacies received",17 21,,
Tax effect,,,
,,,
Transfers to profit and loss,,(675),
"Changes in financial instruments Grants, donations and legacies received Tax effect",,— (900) 225,
,17 21,,
,,,
TOTAL RECOGNISED INCOME AND EXPENSES,,"75,200","11,712"
