Año base,KPI
Atracción y retención del talento,
2025,Incremento anual del número de impactos en redes sociales y eventos de networking.
2025,Implantación de un plan de employer branding.
2025,Implantación de un plan de sucesión de puestos clave (a nivel dirección y gerencia).
2025,Incremento anual de las horas de formación para el total de empleados hasta 2030.
Compromiso del empleado con la empresa,
2025,Mantener por debajo del 10% la tasa de rotación de empleados indefinidos hasta 2030.
2025,"Realización de reuniones semestrales de cada director del Comité de Dirección con su departamento para informar sobre noticias, resultados y eventos destacables de la Compañía."
Promoción del bienestar del empleado y generación de un ambiente laboral seguro,
2025,Alcanzar una tasa de accidentes laborales igual a cero en 2030.
