,Note,"31 December,",
,,2017,2016
Cash flows from operating activities Profit before income tax Adjustments for non-monetary transactions Amortization Interest income Impairment Interest expense Net changes in provisions Grant on non-financial assets and income from distribution licences Profit from creation of joint venture,6 y 7 26 26,"17,522 11,479 (93) (1,437) 1,013 630 (2,012) -","27,882 11,023 (426) 1,864 915 381 (1,847) (3,997)"
Share of the profit of joint ventures,10,567,(71)
Changes in working capital: Trade and other receivables Inventories Trade and other payables Other collections and payments Proceeds from distribution licences Income tax cash flow,20,"3,534 (6,454) (6,910) 87 113","4,131 (4,940) 13,505 505 (3,399)"
Net cash generated (used) in operating activities,,"18,039","45,526"
"Cash flows from investing activities Purchases of intangible assets Purchases of property, plant and equipment Proceeds from sale of property, plant and equipment Investment in a joint venture Proceeds from sale of shares in joint venture Interest received",7 6 6 10 10,"(5,012) (14,932) 25 - 450 285","(8,396) (9,680) 43 (3) 1,000 738"
Net cash flows generated (used) in investing activities,,"(19,184)","(16,298)"
Cash flows from financing activities Repayments of financial debt Proceeds from financial debt Interest paid Purchase of treasury shares Reissue of treasury shares Dividends paid,18 16 d) 16 d) 16 c),"(13,084) 22,350 (253) (532) 1,011 (9,025)","(10,274) 797 (230) (987) 446 (6,853)"
Net cash generated (used) in financing activities,,467,"(17,101)"
Net (decrease)/increase in cash and cash equivalents Cash and cash equivalents at beginning of the year,9 y 14,"(678) 41,378","12,127 29,251"
Cash and cash equivalents an end of the year,9 y 14,"40,700","41,378"
