EARNINGS PER SHARE,,AMOUNT (X.XX euros),AMOUNT (X.XX euros),AMOUNT (X.XX euros),AMOUNT (X.XX euros)
Basic,1290,"0,57","0,42","1,10",
Diluted,1295,,,,
