,"Capex de mantenimiento y otros 13,0M€",,
,"Planta de inyectables de Madrid 2,6M€","Planta de inyectables de San Sebastián de los Reyes 2,6M€",
,"+0,5M€ vs. 2022","(0,4)M€ vs. 2022",
,"Planta de Granada 1,2M€","Planta de Alcalá de Henares 4,3M€",
,"+0,6M€ vs. 2022","+0,9M€ vs. 2022",
,"Inversión en mantenimiento y otros 2,2M€",,
,"(0,4)M€ vs. 2022",,
