2023,,,
,,,
Entidad,,,
Nominal,,,
Tipo interés,"Eur3+0,844%","0,681% Fijo",
,,,
2023 2024 2025 2026 2027,754 5.741 6.495 714 5.714 6.428 714 5.714 6.428 714 5.714 6.428 537 5.714 6.251 — 5.715 5.715,,
2028 en adelante,,,
,3.433 34.312 37.745,,
No corrientes,2.679 28.571 31.250,,
Corrientes,754 5.741 6.495,,
