,,Tax credits,30%,,,
,Negative,not yet,amortisation,,,
,tax bases,applied,13 &14,Provisions,Other,Total
"At 1 January, 2020","6,720","5,642",911,359,"1,028","14,660"
(Charged)/credited to profit and loss,"(2,755)","(1,231)",(117),579,(31),"(3,555)"
"At 31 December, 2020","3,965","4,411",794,938,997,"11,105"
(Charged)/credited to profit and loss,"(3,965)","(4,411)",(151),"2,044",(772),"(7,255)"
"At 31 December, 2021",—,—,643,"2,982",225,"3,850"
