DISTRIBUTION DISMISSALS BY GENDER,,,202,,0 2019,,Total variation,,
,Men,,,1,3 22,,,-41%,
,Women,,,,5 17,,,-71%,
,TOTAL,,,1,8 39,,,-54%,
