,% Participación directa,Valor contable de la participación,Capital,Reservas,Resultado del periodo,Total Fondos propios
"Pan Química Farmacéutica, S.A.U.",100 % 100 % 100 %,1.771 293,601 1.727 232 30 359 (61) 25 50 (12) 7.816 304.641 151.163 6 (147) 131 10 1.430 382 25 2.689 668 5 141 152 21 150 (90) 10 8.448 (76) 30 12.677 (708) 18 190 (7),,,2.560 328 63
"Gineladius, S.L.U.",,,,,,
Bertex Pharma GmbH (Nota 29.b),,858 7.370 6 340 1.575 1.510 81 4.318 13.590,,,,
"Rovi Pharma Industrial Services, S.A.U.",100 %,,,,,463.620
"Rovi Biotech, Limited",100 % 100 % 100 % 100 % 100 % 51 %,,,,,(10) 1.822 3.382 298 81 8.382
"Rovi Biotech, S.r.l.",,,,,,
"Rovi, GmbH",,,,,,
Rovi S.A.S.,,,,,,
Rovi Biotech sp.z.o.o.,,,,,,
"Glicopepton Biotech, S.L.",,,,,,
"Rovi Escúzar, S.L.U.",100 %,,,,,11.999
"Rovi Biotech, GmbH",100 %,269,,,,201
,,31.981,,,,
