,,,2018,2017
Deferred tax assets:,,,,
– Deferred tax assets to be recovered at more than 12 months,,,11.332,5.816
– Deferred tax assets to be recovered within 12 months,,,4.704,"6,077"
,,,"16,036","11,893"
,,,,
Deferred tax liabilities:,,,,
– Deferred tax liabilities to be settled at more than 12 months,,,1.033,1.206
– Deferred tax liabilities to be settled within 12 months,,,210,232
,,,"1,243","1,438"
